Slot,CTC,Sector,CGPA,Discipline,Program,aero,aero_skills,analytics,analytics_skills,chem,chem_skills,comm,comm_skills,da,da_skills,des,des_skills,ds,ds_skills,ee,ee_skills,mech,mech_skills,misc,misc_skills,mm,mm_skills,rob,rob_skills,sde,sde_skills,vlsi,vlsi_skills
2,2354590,5,9.6,23,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
2,2375000,5,8.2,31,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1
2,2354590,5,8.2,5,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1
2,2375000,5,8.8,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
2,2354590,5,9.0,23,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0
2,2354590,5,8.9,23,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
2,2300000,5,8.4,31,3,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
2,2300000,5,7.9,31,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2136170,5,9.0,5,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2,2136170,5,8.0,5,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
3,1433000,5,8.3,23,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1
3,3290000,5,8.4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
